true_Strength_28d,true_Strength_7d,true_Slump_30,true_Slump_90,pred_Strength_28d,pred_Strength_7d,pred_Slump_30,pred_Slump_90,Concrete_Class
32.2,25.2,180,115,41.78315734863281,32.698707580566406,172.87698364257812,145.88111877441406,15
25.4,20.0,95,110,41.618961334228516,30.987762451171875,170.9905548095703,151.68801879882812,15
27.0,20.4,150,140,43.206504821777344,33.9465446472168,190.12802124023438,164.875,15
32.2,27.2,50,115,43.88298416137695,30.062602996826172,174.68289184570312,136.37400817871094,15
26.4,22.1,150,110,43.84725570678711,32.331974029541016,182.30038452148438,166.1199951171875,15
30.5,26.2,120,140,44.188751220703125,33.493186950683594,191.71524047851562,172.03497314453125,15
25.7,18.8,140,100,44.349365234375,33.508766174316406,179.46726989746094,168.95199584960938,15
28.1,19.2,170,100,43.98212432861328,33.25480270385742,191.35562133789062,171.63174438476562,15
29.1,18.9,175,130,41.43803405761719,32.19950485229492,171.3191680908203,151.82675170898438,15
22.355,18.349,175,145,44.53569793701172,33.887264251708984,175.8297119140625,168.1278533935547,15
28.657,24.302,180,140,44.44040298461914,35.13327407836914,177.18402099609375,170.30596923828125,15
21.96666666666667,21.888,155,140,44.53569793701172,33.887264251708984,175.8297119140625,168.1278533935547,15
29.93,25.7,65,35,42.932945251464844,35.20961380004883,172.66952514648438,152.0789794921875,15
28.02,16.969,62,68,42.737762451171875,34.59580612182617,171.7418212890625,152.7248077392578,15
26.67,19.255,62,52,42.937137603759766,34.84891128540039,172.24420166015625,153.7534942626953,15
31.64,21.604,22,18,42.75385284423828,35.53609848022461,174.58807373046875,156.3746337890625,15
35.03,28.8,77,27,41.742103576660156,33.914939880371094,173.6586456298828,155.10032653808594,15
40.55,35.188,56,40,41.4493408203125,33.78010559082031,173.23464965820312,154.65699768066406,15
38.22,30.097,53,28,42.7091178894043,34.44263458251953,173.932373046875,157.19631958007812,15
31.25,22.746,45,30,41.86442947387695,34.50157165527344,173.7023162841797,154.94627380371094,15
38.98,30.83,22,20,41.37391662597656,33.751319885253906,172.8297119140625,154.2203369140625,15
37.94,27.05,30,28,41.75806427001953,34.352012634277344,173.12298583984375,154.5082550048828,15
36.7,28.1,27,43,42.21180725097656,34.72658157348633,175.07785034179688,155.05458068847656,15
29.73,21.39,32,34,42.4201774597168,34.6832275390625,175.40728759765625,156.13226318359375,15
35.72,29.75,28,27,42.420433044433594,34.717620849609375,174.8454132080078,155.4564971923828,15
33.92,29.72,23,22,41.957889556884766,34.70066452026367,177.0523223876953,157.3899688720703,15
32.35,25.23,50,52,42.420433044433594,34.717620849609375,174.8454132080078,155.4564971923828,15
34.62,29.48,23,39,42.20374298095703,34.72837829589844,175.0881805419922,155.04327392578125,15
24.21,19.59,165,168,42.97825241088867,33.29276657104492,175.57119750976562,165.0762939453125,15
26.8,22.09,168,155,44.53569793701172,33.887264251708984,175.8297119140625,168.1278533935547,15
