seed,mode,es,R2_Strength_28d,R2_Strength_7d,R2_Slump_30,R2_Slump_90
42,leaked (as published),published,0.49621122293000786,0.39294733350077393,-0.1353595726407919,-0.07795694622712457
42,corrected,inner,0.35274599506547377,0.4561044129675885,-0.44190041744726005,-0.36822839731583135
43,leaked (as published),published,0.4103813584291812,0.4028341778073019,-0.09403289281496141,-0.17645429181054162
43,corrected,inner,0.1405723492461025,0.21866658383764248,-0.5000855166459584,-0.3439580020383217
44,leaked (as published),published,0.34133718389833034,0.44339668207040916,-0.1257243679960165,-0.089947023159056
44,corrected,inner,0.32441800134740184,0.4275029610475509,-0.2166991981107147,-0.20795091499373464
45,leaked (as published),published,0.42567371501106,0.4691978087726085,-0.14973943867735562,-0.1468420099163954
45,corrected,inner,0.22983867052668305,0.26817106073524655,-0.9719271379577237,-1.0814524805218126
46,leaked (as published),published,0.3673373829965825,0.37044087697725525,-0.24714225577561866,-0.3577978718417356
46,corrected,inner,0.0590517596695499,0.07289524486296506,-1.0612535257785072,-0.7115525978600332
