feature,meanabs_SHAP_standard,meanabs_SHAP_group,rank_standard,rank_group,rank_shift
Strength_7d,5.2855553484921325,5.482071346563527,1,1,0
Concrete_Class_sq,0.5429375221128031,0.5494623032197302,2,3,-1
Cement_sq,0.5174613044241241,0.6925448689104406,3,2,1
Admix_Freq,0.46965329424938956,0.39626637958580846,4,7,-3
Cement_Freq,0.4167744998542697,0.39749157327594176,5,6,-1
Class_x_WC,0.40655924715267144,0.2187961717658407,6,19,-13
WC_Ratio,0.29058460727912316,0.18691085611338462,7,20,-13
WC_Ratio_sq,0.27584195614912005,0.3831389794015681,8,8,0
Slump_Retention,0.27190595325447936,0.23992704892885963,9,14,-5
log_Cement,0.2670563972009158,0.22196886302002522,10,18,-8
Binder_Intensity,0.23397310916899514,0.362424938299361,11,9,2
Bolomey_Feature,0.23372085715936278,0.3181392602965371,12,10,2
Slump_30,0.2332738157504217,0.251481550807083,13,13,0
Class_x_Cement,0.20921542323029074,0.4050183704137717,14,5,9
Gel_Space_Ratio_28d,0.2088013981036295,0.2657809735418264,15,12,3
Cement_x_WC,0.19451921418685644,0.22894672656342138,16,16,0
FA,0.18487089038524437,0.1323092805840442,17,24,-7
WC_Ratio_inv,0.17804880886472668,0.1847229245027989,18,21,-3
Slump_Loss_Rate,0.1770991810070136,0.23526005168176353,19,15,4
Cement_Content,0.17360078047117697,0.5166466052595813,20,4,16
Concrete_Class,0.16214732800775863,0.2702618035277665,21,11,10
Admix_per_Cement,0.15783406914537848,0.1559874756575898,22,23,-1
CA_FA_x_WC,0.14460634754998064,0.17471299595081174,23,22,1
Water_Content,0.13747989546663417,0.11271740383865601,24,25,-1
Paste_Volume,0.1228984533638644,0.22775979664314633,25,17,8
Admix_pct_bwoc,0.11545835097794073,0.07653371458006922,26,28,-2
CA_FA_Ratio,0.08586777229388093,0.0837228957635689,27,26,1
Admixture_Dose,0.07353162627685443,0.06273147317874418,28,29,-1
CA,0.06579132542866777,0.07940397067481098,29,27,2
Agg_Volume_Frac,0.0,0.0,30,30,0
