block,variant,es,n_features,R2_standard,R2_group,RMSE_standard,RMSE_group,dR2_standard,dR2_group,n_train,ci_lo,ci_hi
ablation,Full (30 features),published,30.0,0.9200029964163754,0.8160927554913341,3.082668397661865,4.674007111839196,0.0,0.0,,,
ablation,"Without f'c,7",published,29.0,0.7846406582719908,0.5854643043206542,5.057918273876382,7.01731411101717,-0.1353623381443846,-0.23062845117067987,,,
ablation,Without slump features,published,27.0,0.9190115354268074,0.8317695248514143,3.1017124473071496,4.470357812522457,-0.0009914609895680382,0.015676769360080223,,,
ablation,Without interactions,published,22.0,0.9214300372939334,0.8298313787603017,3.0550493051774565,4.496035070558892,0.0014270408775579613,0.013738623268967576,,,
ablation,Raw only (8 features),published,8.0,0.9113424619376143,0.8325966677078045,3.245247199113866,4.459354512482006,-0.00866053447876114,0.016503912216470407,,,
jackknife,without M15,published,,0.9028084428796217,0.7953246104848344,,,,0.10748383239478732,627.0,,
jackknife,without M20,published,,0.9189604295896527,0.8134293209104524,,,,0.10553110867920035,668.0,,
jackknife,without M25,published,,0.9227232347439995,0.8143099419688573,,,,0.10841329277514222,460.0,,
jackknife,without M30,published,,0.9241982660459073,0.8088071842472553,,,,0.11539108179865198,632.0,,
jackknife,without M35,published,,0.9444851651018684,0.8332206800741909,,,,0.1112644850276775,486.0,,
jackknife,without M40,published,,0.9250431290631036,0.8227678467484719,,,,0.10227528231463168,636.0,,
jackknife,without M45,published,,0.9221131463050788,0.7927506124586136,,,,0.12936253384646523,630.0,,
jackknife,without M50,published,,0.9064048042546097,0.798979581898458,,,,0.1074252223561517,642.0,,
bootstrap,B=200 OOB replicates,published,,0.9179006375024326,,,,,,,0.8945016465869028,0.93745184367197
ablation,Full (30 features),none,30.0,0.9173393427827624,0.8130148935734507,3.1335698297959107,4.7129567910089305,0.0,0.0,,,
ablation,"Without f'c,7",none,29.0,0.7697552137811167,0.5669852467097413,5.229797251294033,7.17201677893675,-0.14758412900164575,-0.24602964686370943,,,
ablation,Without slump features,none,27.0,0.9136200317022116,0.8292134213131398,3.20329156646651,4.5041912175094545,-0.003719311080550791,0.016198527739689106,,,
ablation,Without interactions,none,22.0,0.9197182563060915,0.8242873955335884,3.0881497258143193,4.568687026982571,0.002378913523329085,0.011272501960137737,,,
ablation,Raw only (8 features),none,8.0,0.9070465987258027,0.8251403739267502,3.3229407150080967,4.5575844307035585,-0.01029274405695968,0.012125480353299523,,,
jackknife,without M15,none,,0.9009835053838957,0.7949967397633941,,,,0.10598676562050158,627.0,,
jackknife,without M20,none,,0.9170429204714419,0.8121866127594675,,,,0.1048563077119744,668.0,,
jackknife,without M25,none,,0.9228431125020667,0.80726515332293,,,,0.11557795917913671,460.0,,
jackknife,without M30,none,,0.9246756822558132,0.8040758249106283,,,,0.12059985734518486,632.0,,
jackknife,without M35,none,,0.9428532377544457,0.8315490744231551,,,,0.11130416333129067,486.0,,
jackknife,without M40,none,,0.9251713712207437,0.8217133289581777,,,,0.10345804226256594,636.0,,
jackknife,without M45,none,,0.9217501545770213,0.7908792684938756,,,,0.13087088608314568,630.0,,
jackknife,without M50,none,,0.9053723451492869,0.792571771244331,,,,0.1128005739049559,642.0,,
bootstrap,B=200 OOB replicates,none,,0.9166818905705268,,,,,,,0.8911224440943694,0.9372074975253668
