jid,group,target,outer,inner,es,encoding,group_col,n_features,R2,RMSE,MAE,minutes
A1,GATE,Strength_28d,group,kfold,published,freq,Concrete_Class,30,0.856912617462982,4.122784359718717,3.207214192242439,42.6
A2,GATE,Strength_28d,standard,kfold,published,freq,Concrete_Class,30,0.9245740270849432,2.9933011365876405,2.1343215436315948,42.6
C1,ESLEAK,Strength_28d,group,kfold,none,freq,Concrete_Class,30,0.8531348852657799,4.176853804368125,3.2556069209505147,64.7
C2,ESLEAK,Strength_28d,standard,kfold,none,freq,Concrete_Class,30,0.9236740561858496,3.0111059831622438,2.114014721381838,72.9
C3,ESLEAK,Strength_28d,group,group,none,freq,Concrete_Class,30,0.859350521098516,4.087511748223069,3.17618148953753,49.2
R5a,R5_1,Strength_28d,standard,kfold,none,freq,Concrete_Class,26,0.7861042411942865,5.040702157701866,3.718388606706416,46.5
R5b,R5_1,Strength_28d,group,group,none,freq,Concrete_Class,26,0.5860729809232414,7.0121603401562105,5.52932130739881,27.8
E1,TARGETS,Strength_7d,group,group,none,freq,Concrete_Class,29,0.5799034091327495,6.862022458280882,5.400599239776497,36.1
E2,TARGETS,Slump_30,group,group,none,freq,Concrete_Class,25,-0.3784261320134687,45.78200729721471,33.44288301093745,44.5
E3,TARGETS,Slump_90,group,group,none,freq,Concrete_Class,25,-0.7616232097948641,48.03497256029768,34.914341409687474,68.7
E4,TARGETS,Strength_7d,standard,kfold,none,freq,Concrete_Class,29,0.7697517657424561,5.080140348584976,3.633404114762721,91.1
E5,TARGETS,Slump_30,standard,kfold,none,freq,Concrete_Class,25,0.6485248654683324,23.11800664699478,14.28277391188815,80.8
E6,TARGETS,Slump_90,standard,kfold,none,freq,Concrete_Class,25,0.6320226828247265,21.9538938260595,14.50244338180799,66.0
F1,R3_5,Strength_28d,group,group,none,onehot,Concrete_Class,30,0.8519824928140471,4.193208843843229,3.326002302540211,43.1
F2,R3_5,Strength_28d,standard,kfold,none,onehot,Concrete_Class,30,0.92430270835693,2.9986799841488034,2.108035202590958,68.3
G1,R3_10,Strength_28d,group,group,none,freq,Cement,30,0.889341306499351,3.6256236354997817,2.7804283688630567,55.5
