replicate,n_oob,R2,RMSE,MAE,MAPE
0,246,0.9262357224753719,3.053236224895825,2.2809592481363126,4.974782877894326
1,250,0.9294217403997578,2.948248457033797,2.1705824288253734,4.800305401697984
2,250,0.9246449628998202,2.9079293869833998,2.0888057048992406,4.406114554622386
3,248,0.9227377463948767,3.048119491244013,2.0977144576255347,4.451787526800801
4,267,0.9211806827068778,3.2275956439933533,2.379823964213784,5.201680658182909
5,255,0.919348780201976,3.1326833367828417,2.176445158022042,4.815079983612265
6,259,0.9073691422779683,3.2405846740602,2.3995894400775377,5.1295510067356656
7,250,0.9219143601511016,3.0621070763091387,2.194076929066836,4.909205158040792
8,246,0.9115027319308177,3.3377831857782274,2.376551887595936,5.148966051710597
9,242,0.9113718881560849,3.0993908968818205,2.213157027000937,4.790849968974606
10,247,0.9265854099517846,3.0655408212772146,2.157447021159335,4.588431628980338
11,265,0.9307554522525676,3.0172491563102954,2.1389100753512693,4.708711766550451
12,257,0.9182168635379728,3.1075191421425363,2.1902326441378173,4.904029802181619
13,260,0.9393101991514295,2.7670533787757243,2.0828371822621126,4.555106664191515
14,246,0.9260723925596356,2.970223969463502,2.1185089854792762,4.805578350824926
15,257,0.927078758949331,2.8126465269368772,2.0286135420895497,4.2847900367280785
16,249,0.9086619245926182,3.3367798357420106,2.323466631188073,5.197729001740683
17,261,0.9130127560408519,3.174475496563875,2.339299399918549,5.146347969618364
18,235,0.9275904870142573,2.979756959594454,2.205993784193288,4.8765129952242745
19,260,0.9070921671511649,3.3885892930481463,2.416220930832533,5.017850397460866
20,257,0.9062276795748412,3.175250598556594,2.2376606166205875,4.773199180351425
21,253,0.920875298977474,3.0730048249940647,2.238425873817815,4.82141081410273
22,245,0.9211419314541809,3.1501713549361043,2.192599607475828,4.718547197170142
23,247,0.9236254322635833,2.949896238546727,2.1231810193799614,4.558023888619814
24,248,0.9276818677981649,2.9724261244334067,2.132010261336079,4.707139406053515
25,249,0.9220262590167017,2.9197327872952794,2.124206447613421,4.613069795829257
26,251,0.9097257983157611,3.2191289133426175,2.3222810797723454,5.091297893070737
27,230,0.9046846770556314,3.275856410980072,2.313702441502473,4.962639878287354
28,233,0.9167870717623714,3.1752705654697575,2.4476385510057685,5.4111901475757085
29,257,0.9052336941215122,3.204627114389664,2.3325900377259923,4.833150217451833
30,250,0.9260169454315412,2.9934650811409225,2.20778044609806,4.825414546824227
31,246,0.9195298105659113,3.0644921734774235,2.2023613224184455,4.85278124777645
32,233,0.9355737136758829,2.7349684531868785,1.9726306452224442,4.145673858881953
33,245,0.9298343786048414,2.975715678355686,2.0744972877514787,4.67858044006088
34,263,0.9087291465620345,3.197661661261965,2.312781888275815,4.940355642617378
35,249,0.9059666621145511,3.20621746479599,2.2336838383088367,4.865565369202165
36,247,0.9052757774741941,3.136111672198294,2.2833062575265926,4.767725277422675
37,240,0.9287154143951358,2.9816049909031985,2.1742437096734686,4.794512553288397
38,252,0.9062356234157761,3.2817634239535116,2.3870841628165858,5.027691667698459
39,255,0.8920349468498994,3.552825592324727,2.5202298245603663,5.445159181951106
40,248,0.9134122567607248,2.985408848446225,2.0713515900755786,4.535647912650125
41,250,0.9165767093786823,3.3214650599516444,2.3372735278772376,5.072195227904412
42,249,0.9313825831179472,2.7720690653758897,2.0785329500218177,4.6707105582771105
43,250,0.9249970231572804,3.1257676838014237,2.1851296941631566,4.957661369581153
44,255,0.9129286895268717,3.179265702195161,2.2167937732510494,4.986549193445663
45,251,0.9288551304466934,2.9357166563755084,2.0909976307077667,4.654950084952972
46,243,0.9139011465579567,3.001028544459173,2.133436678033905,4.7306760033327855
47,244,0.9155212220591261,3.086467319080401,2.2626607729119317,4.925401737750363
48,257,0.90964405101489,3.2597095598116037,2.3564474540021805,5.216044232092573
49,247,0.9123186773688439,3.1669044149786467,2.210339299241115,4.828556517439703
50,251,0.9319276569596247,2.8070641796215297,2.0921705197793705,4.663669508277941
51,266,0.8852095893430335,3.563334947522438,2.512500366038615,5.435403855697974
52,243,0.9320990030055603,2.9990888059958642,2.1481799868378215,4.738359030629836
53,258,0.9039975821637859,3.252493373472729,2.210199910705785,4.608290291613448
54,252,0.9148274979705932,3.0863196918998086,2.2480690157950334,4.695951960373047
55,246,0.9311811539121878,2.820155598493453,1.994725742456714,4.34590994723666
56,251,0.9278931431461144,2.9229788353004333,2.0195339229577134,4.421589130584537
57,235,0.9218561109130572,2.9389690569162252,2.1285099114763275,4.533029186578455
58,251,0.889453506331299,3.47486523823543,2.4326705746784505,5.188757006060983
59,257,0.9160242013146197,3.020066446453893,2.1218573352817613,4.699238580933789
60,260,0.9185489982017084,3.134147536176151,2.2231331178217637,4.89734816904226
61,247,0.9204773915087092,3.239125482548485,2.3414916879471197,5.054560275702837
