replicate,classes_per_fold,R2,RMSE,MAE,MAPE
0,"[20, 30];[35, 40];[15, 25];[50];[45]",0.8030109209157592,4.8373891382879615,3.771287487079016,8.582898427817259
1,"[35, 50];[15, 25];[30, 40];[45];[20]",0.7947762835195964,4.9374615231005885,3.9280087653817946,8.98489981210925
2,"[20, 30];[15, 45];[25, 50];[40];[35]",0.8224806813667382,4.592115061200329,3.6225297729685266,8.130812437191853
3,"[20, 45];[25, 30];[35, 40];[50];[15]",0.795568689583692,4.927920085780583,3.853828071369041,8.792186329372212
4,"[45, 50];[25, 35];[15, 30];[20];[40]",0.8070646058680928,4.787357979069573,3.7424080159385937,8.313556578240602
5,"[40, 50];[15, 30];[25, 45];[35];[20]",0.8239094597552998,4.5735977242739985,3.570937964698827,8.081123986060627
6,"[35, 45];[15, 25];[20, 30];[40];[50]",0.7966829216338458,4.9144721731952785,3.850658850116549,8.88463795556157
7,"[35, 45];[20, 40];[15, 25];[50];[30]",0.7952475822158949,4.931788794914358,3.869991097157011,8.926713601427494
8,"[20, 30];[25, 50];[40, 45];[35];[15]",0.8179980808606815,4.6497321290057885,3.644299508809192,8.115709311347238
9,"[25, 30];[20, 50];[15, 35];[45];[40]",0.7965325742217734,4.916288896203289,3.8694433331483715,8.985744954125295
10,"[35, 40];[15, 25];[30, 50];[20];[45]",0.8022488531301275,4.846737016925633,3.783683614708105,8.613022721705498
11,"[35, 45];[20, 40];[30, 50];[15];[25]",0.8122222975326583,4.7229349139607075,3.6842598869057985,8.347808588653287
12,"[20, 45];[25, 50];[30, 40];[35];[15]",0.8227236662914535,4.588971186976279,3.607229608585696,8.093868750396677
13,"[15, 50];[30, 40];[25, 45];[20];[35]",0.8164097263873321,4.6699774632460125,3.6391856381687875,8.294587221925909
14,"[15, 30];[40, 50];[25, 45];[35];[20]",0.8239094597552998,4.5735977242739985,3.570937964698827,8.081123986060627
15,"[20, 45];[25, 30];[15, 40];[35];[50]",0.7987518547748861,4.889403661295552,3.83941539976487,8.888399898657873
16,"[40, 45];[30, 50];[20, 25];[15];[35]",0.8147555179400188,4.690969296087363,3.680572035962135,8.306988673127643
17,"[35, 40];[15, 25];[20, 50];[30];[45]",0.7989050333884192,4.887542539439821,3.82899479535931,8.686920878906655
18,"[30, 40];[25, 45];[20, 35];[15];[50]",0.8335990627272365,4.445983373641344,3.4679327169259766,7.9336358494219965
19,"[20, 35];[40, 45];[30, 50];[15];[25]",0.825433028289485,4.553768925823964,3.544423290789767,8.033795280143826
