feature,mean_dR2,sd_dR2,n_folds
Strength_7d,0.9218127122224689,0.17559281636571303,5
Cement_Freq,0.011105238350378136,0.008840627601236347,5
Admix_pct_bwoc,0.005483715935396359,0.01710732533806081,5
Cement_x_WC,0.004935760597549681,0.01077836302073472,5
CA_FA_Ratio,0.0005663360751798052,0.001946166320918246,5
log_Cement,0.0005015799994380244,0.0009512700875351885,5
Gel_Space_Ratio_28d,0.0004764972673353807,0.0014396322476077576,5
Concrete_Class_sq,0.00013932062962018765,0.0003115303984988103,5
Cement_Content,6.874582379520655e-05,0.00017878581929254794,5
Agg_Volume_Frac,0.0,0.0,5
CA,-8.07483157984022e-05,0.001936748945274069,5
Concrete_Class,-0.0003042573551808814,0.0006803401288387487,5
Class_x_WC,-0.000716199719232482,0.005159440248758298,5
Admix_Freq,-0.0008067847430087847,0.02813457727987443,5
Admix_per_Cement,-0.000994297935665518,0.0038281797658996698,5
Class_x_Cement,-0.0010127717357223086,0.0018462960152080968,5
Binder_Intensity,-0.0013206083741476849,0.0031902144960872366,5
CA_FA_x_WC,-0.0014869155741716411,0.011088248756447046,5
FA,-0.001788413353623379,0.004259692107359051,5
Water_Content,-0.002017747894856725,0.0028899424409600492,5
Admixture_Dose,-0.004208771795918191,0.006410702423082961,5
Paste_Volume,-0.004728467698636922,0.007471404055991544,5
Bolomey_Feature,-0.005005336713722783,0.013510275297703336,5
WC_Ratio_inv,-0.005720098830673701,0.01355002363953478,5
Cement_sq,-0.005778932886278899,0.012812394636926515,5
WC_Ratio,-0.006322809918172782,0.010057162887548451,5
Slump_Retention,-0.008044692218339682,0.008448041915104565,5
WC_Ratio_sq,-0.008807010290255785,0.018758764915177795,5
Slump_30,-0.011489361907447919,0.025022532451580117,5
Slump_Loss_Rate,-0.011754993106049928,0.016096030856290706,5
