replicate,classes_per_fold,R2,RMSE,MAE,MAPE
0,"[20, 30];[35, 40];[15, 25];[50];[45]",0.5478408930979464,7.32884592123776,5.807142001778587,12.722909170249041
1,"[35, 50];[15, 25];[30, 40];[45];[20]",0.585280995198427,7.018865479848824,5.6350855764572145,12.63548445217127
2,"[20, 30];[15, 45];[25, 50];[40];[35]",0.5941903139501451,6.9430637765895264,5.475735728471604,12.14115358701816
3,"[20, 45];[25, 30];[35, 40];[50];[15]",0.5430366288292698,7.367678135844155,5.782823836878763,12.516430466328757
4,"[45, 50];[25, 35];[15, 30];[20];[40]",0.574775909821593,7.107205623020848,5.553313608980058,12.354439528379729
5,"[40, 50];[15, 30];[25, 45];[35];[20]",0.6148662153260422,6.763877895072546,5.304560284085023,11.916376101440775
6,"[35, 45];[15, 25];[20, 30];[40];[50]",0.5760022012704578,7.096950091457954,5.61679983849156,12.502803329614245
7,"[35, 45];[20, 40];[15, 25];[50];[30]",0.582506844269111,7.042301756299469,5.542418741944084,12.358331587762263
8,"[20, 30];[25, 50];[40, 45];[35];[15]",0.6085515079684995,6.819103188658601,5.355986810451966,11.941070987475017
9,"[25, 30];[20, 50];[15, 35];[45];[40]",0.5921021178680519,6.9609044978847825,5.480411793668065,12.164107897879653
